timestamp,service_id,service_name,old_port,new_port,reason,container_id
2025-10-30T18:08:53.708903+00:00,bfa76188-f175-44b0-851a-32a2cc44d16c,Web Server,,80,initial_spawn,50640419aa0e0008bc562b03f79941b6bdda1ecc760bdcab7236ae04cbdbeabf
2025-10-30T18:08:54.370145+00:00,8e145cec-a4b6-4b6d-98aa-f42d36fc8675,Database,,5400,initial_spawn,3bade0b3f49126b9487cd3873b71a0a425261c1d6ad36bab716e4c579abe9897
2025-10-30T18:08:54.985532+00:00,a943e629-604e-4d82-b65f-b5fb7f63f5c3,API Gateway,,3000,initial_spawn,511d74e735953c76a89e50063841c9cfe6241c7050368378b390b2897e8bfe4b
2025-10-30T18:08:55.736583+00:00,0b017f5a-7833-4872-ab2a-d49c07ba42b1,SSH Service,,22,initial_spawn,1aa0381ded2a688ffccf729ca476dc1ed1bf6d47997ab5fecd5b19f3134e4322
2025-10-30T18:08:56.440450+00:00,db3bf2f0-2fc6-4604-9cf8-9546f05aecc7,FTP Server,,21,initial_spawn,d1ae12e450daa683980cc3af11ff291e3dfa417aa2a6a88f812eae7fa3114f62
2025-10-30T18:09:00.401349+00:00,bfa76188-f175-44b0-851a-32a2cc44d16c,Web Server,80,8100,scan_from_127.0.0.1_to_port_80,2968effee841678256eedab96b4278d32c533837bf6a7b840feed0eb64eabae5
2025-10-30T18:09:38.613135+00:00,0b017f5a-7833-4872-ab2a-d49c07ba42b1,SSH Service,22,2202,scan_from_127.0.0.1_to_port_22,a211c205c6b05a63f037d5a355f2983182d8e9f08a08e42bd8013e210e249150
2025-10-30T18:09:56.449102+00:00,8e145cec-a4b6-4b6d-98aa-f42d36fc8675,Database,5400,5404,time_rotation,c612b5fa5b28b652fdbc66254783868f94a14eb2b3d33d29f730468b752c9c81
2025-10-30T18:09:58.273538+00:00,a943e629-604e-4d82-b65f-b5fb7f63f5c3,API Gateway,3000,3001,time_rotation,321ea2952645e5c6b624f7f767be08a0cef369297cd4042be7fa0b39d093cd00
2025-10-30T18:10:00.037488+00:00,db3bf2f0-2fc6-4604-9cf8-9546f05aecc7,FTP Server,21,2101,time_rotation,be34c70587ad234f9f54e15440837355dc8a0ec652f7a666d59b78f9627ac1cd
2025-10-30T18:10:06.880245+00:00,bfa76188-f175-44b0-851a-32a2cc44d16c,Web Server,8100,8120,time_rotation,27dbe84ebe4d025fe6e248e6ef18003111013d5952b36f9948c2232d8f96d907
2025-10-30T18:10:38.720061+00:00,0b017f5a-7833-4872-ab2a-d49c07ba42b1,SSH Service,2202,22,time_rotation,4b53c9c42954eb98e753cdfb78f2ce31c2440b2323df6d39f19e906b3115bd7e
2025-10-30T18:11:00.547463+00:00,8e145cec-a4b6-4b6d-98aa-f42d36fc8675,Database,5404,5403,time_rotation,24b62dd55d18d0777851966b4eb0ade068a4f91a324f5df07ab33b72441df38c
2025-10-30T18:11:02.404166+00:00,a943e629-604e-4d82-b65f-b5fb7f63f5c3,API Gateway,3001,3003,time_rotation,a10fede607c9d43c621a042bc2adf441098087c9d2b3b1f569aecfd8554e9ecf
2025-10-30T18:11:09.320578+00:00,bfa76188-f175-44b0-851a-32a2cc44d16c,Web Server,8120,8110,time_rotation,50db3a625573b878019793df0fda95e8fae7d7c5b6be2932776cad2a48e8eef1
2025-10-30T18:11:11.061901+00:00,db3bf2f0-2fc6-4604-9cf8-9546f05aecc7,FTP Server,2101,2102,time_rotation,4c55ef797a43025d37404d8e66cc757e49c32e99dd03481d164cadf294224ab9
2025-10-30T18:11:16.812530+00:00,a943e629-604e-4d82-b65f-b5fb7f63f5c3,API Gateway,3003,3001,scan_from_127.0.0.1_to_port_3003,e4a5555c7deac13cae24faae1a32e9758b2c35e365908e0d8d64f023e658b4ca
2025-10-30T18:11:42.877108+00:00,0b017f5a-7833-4872-ab2a-d49c07ba42b1,SSH Service,22,2204,time_rotation,ebaa290a10a36396302c82949eed02a0f69b9ca93a0191cc934e6ed8ce0d3db6
2025-10-30T18:11:50.610279+00:00,bfa76188-f175-44b0-851a-32a2cc44d16c,Web Server,8110,8090,scan_from_127.0.0.1_to_port_8110,7bacc9979f2cc7b3f03d6e87e751ba74415a4d9ff829b826b2943c3bde4ec21f
